Strategy A,n = 1000,
,,
,,
Trial 1,,
,,
Space Name,Times Landed On,Percent Landed On (%)
GO,27,2.519
MEDITERRANEAN_AVENUE,22,2.052
COMMUNITY_CHEST_1,19,1.772
BALTIC_AVENUE,24,2.239
INCOME_TAX,22,2.052
READING_RAILROAD,25,2.332
ORIENTAL_AVENUE,20,1.866
CHANCE_1,25,2.332
VERMONT_AVENUE,25,2.332
CONNECTICUT_AVENUE,18,1.679
JAIL,68,6.343
ST_CHARLES_PLACE,28,2.612
ELECTRIC_COMPANY,29,2.705
STATES_AVENUE,22,2.052
VIRGINIA_AVENUE,16,1.493
PENNSYLVANIA_RAILROAD,29,2.705
ST_JAMES_PLACE,26,2.425
COMMUNITY_CHEST_2,19,1.772
TENNESSEE_AVENUE,40,3.731
NEW_YORK_AVENUE,37,3.451
FREE_PARKING,25,2.332
KENTUCKY_AVENUE,27,2.519
CHANCE_2,31,2.892
INDIANA_AVENUE,24,2.239
ILLINOIS_AVENUE,28,2.612
BO_RAILROAD,34,3.172
ATLANTIC_AVENUE,23,2.146
VENTNOR_AVENUE,21,1.959
WATER_WORKS,32,2.985
MARVIN_GARDENS,31,2.892
GO_TO_JAIL,26,2.425
PACIFIC_AVENUE,27,2.519
NORTH_CAROLINA_AVENUE,21,1.959
COMMUNITY_CHEST_3,25,2.332
PENNSYLVANIA_AVENUE,29,2.705
SHORT_LINE,24,2.239
CHANCE_3,20,1.866
PARK_PLACE,20,1.866
LUXURY_TAX,29,2.705
BOARDWALK,34,3.172
,,
,,
Trial 2,,
,,
Space Name,Times Landed On,Percent Landed On (%)
GO,22,2.048
MEDITERRANEAN_AVENUE,18,1.676
COMMUNITY_CHEST_1,24,2.235
BALTIC_AVENUE,27,2.514
INCOME_TAX,25,2.328
READING_RAILROAD,23,2.142
ORIENTAL_AVENUE,20,1.862
CHANCE_1,17,1.583
VERMONT_AVENUE,27,2.514
CONNECTICUT_AVENUE,23,2.142
JAIL,76,7.076
ST_CHARLES_PLACE,29,2.7
ELECTRIC_COMPANY,22,2.048
STATES_AVENUE,25,2.328
VIRGINIA_AVENUE,28,2.607
PENNSYLVANIA_RAILROAD,27,2.514
ST_JAMES_PLACE,26,2.421
COMMUNITY_CHEST_2,27,2.514
TENNESSEE_AVENUE,33,3.073
NEW_YORK_AVENUE,33,3.073
FREE_PARKING,33,3.073
KENTUCKY_AVENUE,24,2.235
CHANCE_2,18,1.676
INDIANA_AVENUE,24,2.235
ILLINOIS_AVENUE,23,2.142
BO_RAILROAD,39,3.631
ATLANTIC_AVENUE,31,2.886
VENTNOR_AVENUE,29,2.7
WATER_WORKS,26,2.421
MARVIN_GARDENS,27,2.514
GO_TO_JAIL,27,2.514
PACIFIC_AVENUE,38,3.538
NORTH_CAROLINA_AVENUE,20,1.862
COMMUNITY_CHEST_3,25,2.328
PENNSYLVANIA_AVENUE,25,2.328
SHORT_LINE,20,1.862
CHANCE_3,29,2.7
PARK_PLACE,25,2.328
LUXURY_TAX,15,1.397
BOARDWALK,24,2.235
,,
,,
Trial 3,,
,,
Space Name,Times Landed On,Percent Landed On (%)
GO,24,2.237
MEDITERRANEAN_AVENUE,25,2.33
