Strategy A,n = 1000000


Trial 1

Space Name,Times Landed On,Percent Landed On (%)
GO,27627,2.569
MEDITERRANEAN_AVENUE,21592,2.008
COMMUNITY_CHEST_1,22015,2.047
BALTIC_AVENUE,21994,2.045
INCOME_TAX,23343,2.171
READING_RAILROAD,25698,2.390
ORIENTAL_AVENUE,22486,2.091
CHANCE_1,22867,2.127
VERMONT_AVENUE,23256,2.163
CONNECTICUT_AVENUE,22680,2.109
JAIL,66557,6.189
ST_CHARLES_PLACE,26515,2.466
ELECTRIC_COMPANY,25625,2.383
STATES_AVENUE,23570,2.192
VIRGINIA_AVENUE,24623,2.290
PENNSYLVANIA_RAILROAD,27312,2.540
ST_JAMES_PLACE,27784,2.584
COMMUNITY_CHEST_2,29891,2.780
TENNESSEE_AVENUE,29146,2.710
NEW_YORK_AVENUE,30473,2.834
FREE_PARKING,28575,2.657
KENTUCKY_AVENUE,28198,2.622
CHANCE_2,27476,2.555
INDIANA_AVENUE,27100,2.520
ILLINOIS_AVENUE,31736,2.951
BO_RAILROAD,29352,2.730
ATLANTIC_AVENUE,27017,2.512
VENTNOR_AVENUE,26675,2.481
WATER_WORKS,28466,2.647
MARVIN_GARDENS,26201,2.437
GO_TO_JAIL,26602,2.474
PACIFIC_AVENUE,26537,2.468
NORTH_CAROLINA_AVENUE,26413,2.456
COMMUNITY_CHEST_3,26883,2.500
PENNSYLVANIA_AVENUE,25149,2.339
SHORT_LINE,24339,2.263
CHANCE_3,22862,2.126
PARK_PLACE,21933,2.040
LUXURY_TAX,22087,2.054
BOARDWALK,26679,2.481


Trial 2

Space Name,Times Landed On,Percent Landed On (%)
GO,27514,2.559
MEDITERRANEAN_AVENUE,22050,2.051
COMMUNITY_CHEST_1,21847,2.032
BALTIC_AVENUE,22149,2.060
INCOME_TAX,23291,2.166
READING_RAILROAD,25707,2.391
ORIENTAL_AVENUE,22671,2.108
CHANCE_1,22641,2.106
VERMONT_AVENUE,23103,2.149
CONNECTICUT_AVENUE,22593,2.101
JAIL,66178,6.154
ST_CHARLES_PLACE,26863,2.498
ELECTRIC_COMPANY,25636,2.384
STATES_AVENUE,23662,2.201
VIRGINIA_AVENUE,24646,2.292
PENNSYLVANIA_RAILROAD,27427,2.551
