Strategy B,n = 10000


Trial 1

Space Name,Times Landed On,Percent Landed On (%)
GO,279,2.597
MEDITERRANEAN_AVENUE,201,1.871
COMMUNITY_CHEST_1,224,2.085
BALTIC_AVENUE,205,1.908
INCOME_TAX,228,2.122
READING_RAILROAD,253,2.355
ORIENTAL_AVENUE,235,2.187
CHANCE_1,245,2.280
VERMONT_AVENUE,195,1.815
CONNECTICUT_AVENUE,231,2.150
JAIL,639,5.948
ST_CHARLES_PLACE,288,2.681
ELECTRIC_COMPANY,247,2.299
STATES_AVENUE,262,2.439
VIRGINIA_AVENUE,222,2.066
PENNSYLVANIA_RAILROAD,290,2.699
ST_JAMES_PLACE,274,2.550
COMMUNITY_CHEST_2,284,2.643
TENNESSEE_AVENUE,280,2.606
NEW_YORK_AVENUE,333,3.099
FREE_PARKING,271,2.522
KENTUCKY_AVENUE,260,2.420
CHANCE_2,274,2.550
INDIANA_AVENUE,255,2.373
ILLINOIS_AVENUE,334,3.109
BO_RAILROAD,298,2.774
ATLANTIC_AVENUE,253,2.355
VENTNOR_AVENUE,270,2.513
WATER_WORKS,282,2.625
MARVIN_GARDENS,288,2.681
GO_TO_JAIL,264,2.457
PACIFIC_AVENUE,283,2.634
NORTH_CAROLINA_AVENUE,248,2.308
COMMUNITY_CHEST_3,265,2.466
PENNSYLVANIA_AVENUE,259,2.411
SHORT_LINE,261,2.429
CHANCE_3,240,2.234
PARK_PLACE,210,1.955
LUXURY_TAX,231,2.150
BOARDWALK,283,2.634


Trial 2

Space Name,Times Landed On,Percent Landed On (%)
GO,268,2.492
MEDITERRANEAN_AVENUE,221,2.055
COMMUNITY_CHEST_1,222,2.065
BALTIC_AVENUE,219,2.037
INCOME_TAX,218,2.027
READING_RAILROAD,262,2.437
ORIENTAL_AVENUE,223,2.074
CHANCE_1,193,1.795
VERMONT_AVENUE,221,2.055
CONNECTICUT_AVENUE,228,2.120
JAIL,686,6.380
ST_CHARLES_PLACE,273,2.539
ELECTRIC_COMPANY,254,2.362
STATES_AVENUE,241,2.241
VIRGINIA_AVENUE,262,2.437
PENNSYLVANIA_RAILROAD,252,2.344
ST_JAMES_PLACE,280,2.604
COMMUNITY_CHEST_2,322,2.995
TENNESSEE_AVENUE,269,2.502
NEW_YORK_AVENUE,334,3.106
FREE_PARKING,278,2.585
KENTUCKY_AVENUE,308,2.864
CHANCE_2,261,2.427
INDIANA_AVENUE,284,2.641
ILLINOIS_AVENUE,327,3.041
BO_RAILROAD,260,2.418
ATLANTIC_AVENUE,270,2.511
VENTNOR_AVENUE,298,2.771
WATER_WORKS,261,2.427
MARVIN_GARDENS,268,2.492
GO_TO_JAIL,302,2.809
PACIFIC_AVENUE,272,2.530
NORTH_CAROLINA_AVENUE,268,2.492
COMMUNITY_CHEST_3,283,2.632
PENNSYLVANIA_AVENUE,238,2.213
SHORT_LINE,217,2.018
CHANCE_3,225,2.092
PARK_PLACE,198,1.841
LUXURY_TAX,218,2.027
BOARDWALK,269,2.502


Trial 3

Space Name,Times Landed On,Percent Landed On (%)
GO,278,2.585
MEDITERRANEAN_AVENUE,205,1.906
COMMUNITY_CHEST_1,213,1.981
BALTIC_AVENUE,223,2.074
INCOME_TAX,236,2.195
READING_RAILROAD,245,2.278
ORIENTAL_AVENUE,225,2.092
CHANCE_1,221,2.055
VERMONT_AVENUE,239,2.223
CONNECTICUT_AVENUE,234,2.176
JAIL,664,6.175
ST_CHARLES_PLACE,255,2.371
ELECTRIC_COMPANY,241,2.241
STATES_AVENUE,244,2.269
VIRGINIA_AVENUE,237,2.204
PENNSYLVANIA_RAILROAD,303,2.818
ST_JAMES_PLACE,278,2.585
COMMUNITY_CHEST_2,299,2.781
TENNESSEE_AVENUE,289,2.688
NEW_YORK_AVENUE,309,2.874
FREE_PARKING,296,2.753
KENTUCKY_AVENUE,274,2.548
CHANCE_2,278,2.585
INDIANA_AVENUE,277,2.576
