Strategy A,n = 100000

Trial 1

Space Name,Times Landed On,Percent Landed On (%)
GO,2800,2.602641681306526
MEDITERRANEAN_AVENUE,2171,2.017976817898739
COMMUNITY_CHEST_1,2202,2.0467917793703467
BALTIC_AVENUE,2233,2.0756067408419545
INCOME_TAX,2238,2.080254315272859
READING_RAILROAD,2634,2.4483422102004964
ORIENTAL_AVENUE,2250,2.09140849390703
CHANCE_1,2225,2.068170621752507
VERMONT_AVENUE,2339,2.17413531877713
CONNECTICUT_AVENUE,2292,2.1304481191266276
JAIL,6630,6.162683695379381
ST_CHARLES_PLACE,2687,2.497606499168084
ELECTRIC_COMPANY,2627,2.44183560599723
STATES_AVENUE,2318,2.1546155061673313
VIRGINIA_AVENUE,2476,2.3014788581839136
PENNSYLVANIA_RAILROAD,2750,2.556165936997481
ST_JAMES_PLACE,2849,2.64818791072939
COMMUNITY_CHEST_2,2971,2.7615887268434602
TENNESSEE_AVENUE,2860,2.65841257447738
NEW_YORK_AVENUE,3097,2.878707602502254
FREE_PARKING,2826,2.62680906834723
KENTUCKY_AVENUE,2825,2.6258795534610484
CHANCE_2,2839,2.6388927618675813
INDIANA_AVENUE,2735,2.5422232137047676
ILLINOIS_AVENUE,3095,2.8768485727298923
BO_RAILROAD,2929,2.7225491016238625
ATLANTIC_AVENUE,2737,2.5440822434771295
VENTNOR_AVENUE,2671,2.4827342609891896
WATER_WORKS,2878,2.6751438424286365
MARVIN_GARDENS,2557,2.376769563964567
GO_TO_JAIL,2640,2.453919299517582
PACIFIC_AVENUE,2736,2.543152728590948
NORTH_CAROLINA_AVENUE,2538,2.3591087811271296
COMMUNITY_CHEST_3,2705,2.5143377671193403
PENNSYLVANIA_AVENUE,2474,2.299619828411552
SHORT_LINE,2436,2.2642982627366774
CHANCE_3,2314,2.1508974466226074
PARK_PLACE,2151,1.9993865201751206
LUXURY_TAX,2173,2.0198358476711005
BOARDWALK,2675,2.4864523205339135

Trial 2

Space Name,Times Landed On,Percent Landed On (%)
GO,2731,2.5404651162790697
MEDITERRANEAN_AVENUE,2249,2.092093023255814
COMMUNITY_CHEST_1,2255,2.097674418604651
BALTIC_AVENUE,2158,2.007441860465116
INCOME_TAX,2336,2.1730232558139533
READING_RAILROAD,2557,2.378604651162791
ORIENTAL_AVENUE,2338,2.1748837209302327
CHANCE_1,2288,2.1283720930232555
VERMONT_AVENUE,2305,2.144186046511628
CONNECTICUT_AVENUE,2325,2.1627906976744184
JAIL,6500,6.046511627906977
ST_CHARLES_PLACE,2726,2.5358139534883724
ELECTRIC_COMPANY,2557,2.378604651162791
STATES_AVENUE,2354,2.189767441860465
VIRGINIA_AVENUE,2504,2.3293023255813954
PENNSYLVANIA_RAILROAD,2797,2.601860465116279
ST_JAMES_PLACE,2929,2.724651162790698
COMMUNITY_CHEST_2,2874,2.6734883720930234
TENNESSEE_AVENUE,2821,2.624186046511628
NEW_YORK_AVENUE,3083,2.867906976744186
FREE_PARKING,2828,2.6306976744186046
KENTUCKY_AVENUE,2837,2.6390697674418604
CHANCE_2,2782,2.5879069767441862
INDIANA_AVENUE,2641,2.4567441860465116
ILLINOIS_AVENUE,3179,2.9572093023255817
BO_RAILROAD,2954,2.7479069767441864
ATLANTIC_AVENUE,2699,2.5106976744186045
VENTNOR_AVENUE,2572,2.392558139534884
WATER_WORKS,2771,2.5776744186046514
MARVIN_GARDENS,2737,2.546046511627907
GO_TO_JAIL,2650,2.4651162790697674
PACIFIC_AVENUE,2674,2.487441860465116
NORTH_CAROLINA_AVENUE,2623,2.44
COMMUNITY_CHEST_3,2711,2.521860465116279
PENNSYLVANIA_AVENUE,2490,2.316279069767442
SHORT_LINE,2410,2.2418604651162792
CHANCE_3,2277,2.1181395348837206
PARK_PLACE,2158,2.007441860465116
LUXURY_TAX,2249,2.092093023255814
BOARDWALK,2571,2.391627906976744

Trial 3

Space Name,Times Landed On,Percent Landed On (%)
GO,2808,2.608235261334398
MEDITERRANEAN_AVENUE,2148,1.9951885118754584
COMMUNITY_CHEST_1,2174,2.0193388383692956
BALTIC_AVENUE,2128,1.9766113376494303
INCOME_TAX,2421,2.2487669400607473
READING_RAILROAD,2578,2.3945977577350708
ORIENTAL_AVENUE,2242,2.0825012307377926
CHANCE_1,2322,2.1568099276419064
VERMONT_AVENUE,2263,2.1020072636751226
CONNECTICUT_AVENUE,2303,2.1391616121271793
JAIL,6731,6.252147985769884
ST_CHARLES_PLACE,2668,2.478195041752199
ELECTRIC_COMPANY,2568,2.385309170622057
STATES_AVENUE,2315,2.150307916662796
VIRGINIA_AVENUE,2458,2.2831347123789003
PENNSYLVANIA_RAILROAD,2781,2.58315607612926
ST_JAMES_PLACE,2858,2.6546781968994697
COMMUNITY_CHEST_2,2930,2.721556024113172
TENNESSEE_AVENUE,2971,2.7596392312765303
NEW_YORK_AVENUE,3053,2.835805645603247
FREE_PARKING,2823,2.62216814200392
KENTUCKY_AVENUE,2809,2.6091641200457
CHANCE_2,2798,2.5989466742213843
INDIANA_AVENUE,2711,2.51813596633816
ILLINOIS_AVENUE,3216,2.987209615545379
BO_RAILROAD,2880,2.675113088548101
ATLANTIC_AVENUE,2724,2.5302111295850787
VENTNOR_AVENUE,2680,2.4893413462878162
WATER_WORKS,2789,2.5905869458196715
MARVIN_GARDENS,2566,2.383451453199454
GO_TO_JAIL,2715,2.521851401183366
PACIFIC_AVENUE,2658,2.468906454639185
NORTH_CAROLINA_AVENUE,2629,2.4419695520114435
COMMUNITY_CHEST_3,2697,2.50513194437994
PENNSYLVANIA_AVENUE,2490,2.3128581911405455
SHORT_LINE,2469,2.2933521582032155
CHANCE_3,2274,2.112224709499438
PARK_PLACE,2149,1.9961173705867599
LUXURY_TAX,2221,2.0629951978004626
BOARDWALK,2641,2.4531158565470603

Trial 4

Space Name,Times Landed On,Percent Landed On (%)
GO,2771,2.577530556434059
MEDITERRANEAN_AVENUE,2167,2.0157014492214387
COMMUNITY_CHEST_1,2239,2.0826744553792347
BALTIC_AVENUE,2156,2.0054694621695535
INCOME_TAX,2320,2.158019087306755
READING_RAILROAD,2584,2.4035867765520065
ORIENTAL_AVENUE,2278,2.118951500381374
CHANCE_1,2269,2.1105798746116498
VERMONT_AVENUE,2358,2.193365951667814
CONNECTICUT_AVENUE,2244,2.0873253585846374
JAIL,6598,6.137331869849125
ST_CHARLES_PLACE,2768,2.5747400145108177
ELECTRIC_COMPANY,2559,2.3803322605249937
STATES_AVENUE,2364,2.198947035514297
VIRGINIA_AVENUE,2428,2.258478596543449
PENNSYLVANIA_RAILROAD,2832,2.63427157553997
ST_JAMES_PLACE,2690,2.502185924506539
COMMUNITY_CHEST_2,3045,2.8324000520901156
TENNESSEE_AVENUE,2810,2.613807601436199
NEW_YORK_AVENUE,3087,2.871467639015497
FREE_PARKING,2820,2.623109407847004
KENTUCKY_AVENUE,2806,2.610086878871877
CHANCE_2,2798,2.6026454337432328
INDIANA_AVENUE,2693,2.5049764664297807
ILLINOIS_AVENUE,3141,2.9216973936338437
BO_RAILROAD,2819,2.6221792272059234
ATLANTIC_AVENUE,2759,2.5663683887410937
VENTNOR_AVENUE,2669,2.482652131043849
WATER_WORKS,2899,2.696593678492363
MARVIN_GARDENS,2601,2.419399847450375
GO_TO_JAIL,2662,2.4761408665562854
PACIFIC_AVENUE,2652,2.46683906014548
NORTH_CAROLINA_AVENUE,2587,2.406377318475248
COMMUNITY_CHEST_3,2777,2.5831116402805425
PENNSYLVANIA_AVENUE,2432,2.2621993191077707
SHORT_LINE,2443,2.272431306159656
CHANCE_3,2283,2.1236024035867764
PARK_PLACE,2207,2.0529086748646588
LUXURY_TAX,2209,2.0547690361468196
BOARDWALK,2682,2.494744479377895

Trial 5

Space Name,Times Landed On,Percent Landed On (%)
GO,2759,2.5683991025963264
MEDITERRANEAN_AVENUE,2171,2.0210200984909843
COMMUNITY_CHEST_1,2196,2.0442930153321974
BALTIC_AVENUE,2217,2.0638422654788173
INCOME_TAX,2403,2.236992766777446
READING_RAILROAD,2570,2.392455851276752
ORIENTAL_AVENUE,2222,2.0684968488470594
CHANCE_1,2225,2.071289598868005
VERMONT_AVENUE,2342,2.1802068496848848
CONNECTICUT_AVENUE,2236,2.081529682278139
JAIL,6564,6.110537045829028
