Strategy B,n = 10000

Trial 1

Space Name,Times Landed On,Percent Landed On (%)
GO,304,2.8223934639309256
MEDITERRANEAN_AVENUE,228,2.116795097948194
COMMUNITY_CHEST_1,208,1.931111317426423
BALTIC_AVENUE,218,2.0239532076873084
INCOME_TAX,245,2.2746263113917
READING_RAILROAD,249,2.311763067496054
ORIENTAL_AVENUE,232,2.1539318540525483
CHANCE_1,240,2.2282053662612573
VERMONT_AVENUE,257,2.3860365797047627
CONNECTICUT_AVENUE,213,1.9775322625568656
JAIL,679,6.30396434871414
ST_CHARLES_PLACE,270,2.5067310370439144
ELECTRIC_COMPANY,262,2.4324575248352054
STATES_AVENUE,227,2.1075109089221056
VIRGINIA_AVENUE,242,2.246773744313434
PENNSYLVANIA_RAILROAD,257,2.3860365797047627
ST_JAMES_PLACE,301,2.79454089685266
COMMUNITY_CHEST_2,267,2.4788784699656485
TENNESSEE_AVENUE,311,2.8873827871135456
NEW_YORK_AVENUE,320,2.970940488348343
FREE_PARKING,288,2.6738464395135084
KENTUCKY_AVENUE,259,2.40460495775694
CHANCE_2,315,2.9245195432179
INDIANA_AVENUE,246,2.2839105004177886
ILLINOIS_AVENUE,309,2.8688144090613688
BO_RAILROAD,288,2.6738464395135084
ATLANTIC_AVENUE,246,2.2839105004177886
VENTNOR_AVENUE,271,2.516015226070003
WATER_WORKS,276,2.5624361712004458
MARVIN_GARDENS,294,2.7295515736700398
GO_TO_JAIL,252,2.33961563457432
PACIFIC_AVENUE,268,2.488162658991737
NORTH_CAROLINA_AVENUE,280,2.5995729273048
COMMUNITY_CHEST_3,268,2.488162658991737
PENNSYLVANIA_AVENUE,237,2.2003527991829914
SHORT_LINE,246,2.2839105004177886
CHANCE_3,215,1.996100640609043
PARK_PLACE,210,1.9496796954786
LUXURY_TAX,233,2.163216043078637
BOARDWALK,240,2.2282053662612573

Trial 2

Space Name,Times Landed On,Percent Landed On (%)
GO,288,2.682813227759665
MEDITERRANEAN_AVENUE,203,1.8910107126222635
COMMUNITY_CHEST_1,228,2.1238938053097343
BALTIC_AVENUE,230,2.1425244527247322
INCOME_TAX,213,1.984163949697252
READING_RAILROAD,278,2.5896599906846762
ORIENTAL_AVENUE,204,1.9003260363297625
CHANCE_1,212,1.9748486259897533
VERMONT_AVENUE,259,2.4126688402421985
CONNECTICUT_AVENUE,226,2.1052631578947367
JAIL,648,6.036329762459245
ST_CHARLES_PLACE,264,2.4592454587796926
ELECTRIC_COMPANY,259,2.4126688402421985
STATES_AVENUE,263,2.449930135072194
VIRGINIA_AVENUE,237,2.207731718677224
PENNSYLVANIA_RAILROAD,307,2.8598043782021425
ST_JAMES_PLACE,239,2.2263623660922214
COMMUNITY_CHEST_2,269,2.505822077317187
TENNESSEE_AVENUE,297,2.7666511411271544
NEW_YORK_AVENUE,286,2.6641825803446673
FREE_PARKING,322,2.999534233814625
KENTUCKY_AVENUE,275,2.5617140195621797
CHANCE_2,285,2.6548672566371683
INDIANA_AVENUE,272,2.533768048439683
ILLINOIS_AVENUE,315,2.934326967862133
BO_RAILROAD,290,2.7014438751746623
ATLANTIC_AVENUE,279,2.598975314392175
VENTNOR_AVENUE,279,2.598975314392175
WATER_WORKS,277,2.5803446669771772
MARVIN_GARDENS,246,2.291569632044714
GO_TO_JAIL,266,2.47787610619469
PACIFIC_AVENUE,248,2.3102002794597114
NORTH_CAROLINA_AVENUE,295,2.7480204937121564
COMMUNITY_CHEST_3,279,2.598975314392175
PENNSYLVANIA_AVENUE,227,2.1145784816022357
SHORT_LINE,244,2.272938984629716
CHANCE_3,226,2.1052631578947367
PARK_PLACE,205,1.9096413600372613
LUXURY_TAX,222,2.068001863064741
BOARDWALK,273,2.543083372147182

Trial 3

Space Name,Times Landed On,Percent Landed On (%)
GO,263,2.4444650989868943
MEDITERRANEAN_AVENUE,228,2.1191560553954827
COMMUNITY_CHEST_1,211,1.9611488056510826
BALTIC_AVENUE,219,2.035505158471977
INCOME_TAX,236,2.193512408216377
READING_RAILROAD,255,2.3701087461660006
ORIENTAL_AVENUE,218,2.0262106143693654
CHANCE_1,236,2.193512408216377
VERMONT_AVENUE,215,1.99832698206153
CONNECTICUT_AVENUE,225,2.0912724230876476
JAIL,719,6.68277720977786
ST_CHARLES_PLACE,266,2.47234873129473
ELECTRIC_COMPANY,237,2.202806952318989
STATES_AVENUE,243,2.2585742169346594
VIRGINIA_AVENUE,262,2.435170554884283
PENNSYLVANIA_RAILROAD,281,2.6117668928339066
ST_JAMES_PLACE,296,2.751185054373083
COMMUNITY_CHEST_2,295,2.7418905102704714
TENNESSEE_AVENUE,289,2.6861232456548008
NEW_YORK_AVENUE,296,2.751185054373083
FREE_PARKING,277,2.5745887164234595
KENTUCKY_AVENUE,294,2.7325959661678594
CHANCE_2,252,2.342225113858165
INDIANA_AVENUE,279,2.593177804628683
ILLINOIS_AVENUE,334,3.10437773027233
BO_RAILROAD,277,2.5745887164234595
ATLANTIC_AVENUE,258,2.3979923784738357
VENTNOR_AVENUE,277,2.5745887164234595
WATER_WORKS,281,2.6117668928339066
MARVIN_GARDENS,260,2.4165814666790593
GO_TO_JAIL,289,2.6861232456548008
PACIFIC_AVENUE,262,2.435170554884283
NORTH_CAROLINA_AVENUE,260,2.4165814666790593
COMMUNITY_CHEST_3,260,2.4165814666790593
PENNSYLVANIA_AVENUE,254,2.360814202063389
SHORT_LINE,233,2.1656287759085417
CHANCE_3,229,2.1284505994980947
PARK_PLACE,222,2.063388790779812
LUXURY_TAX,221,2.0540942466772005
BOARDWALK,250,2.3236360256529416

Trial 4

